127.0.0.1 - - [29/Oct/2025:07:16:20 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:16:23 +0700] "GET /ABCNews/ HTTP/1.1" 200 27343
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:16:25 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:16:34 +0700] "POST /ABCNews/subscribe-action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:16:35 +0700] "GET /ABCNews/HomeServlet HTTP/1.1" 200 27535
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:16:40 +0700] "POST /ABCNews/subscribe-action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:16:40 +0700] "GET /ABCNews/HomeServlet HTTP/1.1" 200 27530
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:16:57 +0700] "GET /ABCNews/ HTTP/1.1" 200 27343
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:16:59 +0700] "GET /ABCNews/NewsListServlet?catId=cat3 HTTP/1.1" 200 22026
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:17:00 +0700] "GET /ABCNews/NewsListServlet?catId=cat1 HTTP/1.1" 200 18871
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:17:59 +0700] "GET /ABCNews/ HTTP/1.1" 200 27343
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:18:00 +0700] "GET /ABCNews/ HTTP/1.1" 200 27343
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:29:11 +0700] "GET /ABCNews/LoginServlet HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:29:13 +0700] "POST /ABCNews/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:29:13 +0700] "GET /ABCNews/manage/admin_home.jsp HTTP/1.1" 200 4497
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:29:15 +0700] "GET /ABCNews/AdminNewsServlet HTTP/1.1" 200 110924
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:29:16 +0700] "GET /ABCNews/AdminUserServlet HTTP/1.1" 200 15011
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:29:19 +0700] "GET /ABCNews/ReporterNewsServlet HTTP/1.1" 200 9724
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:30:15 +0700] "POST /ABCNews/ReporterNewsServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:30:15 +0700] "GET /ABCNews/ReporterNewsServlet HTTP/1.1" 200 13122
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:30:17 +0700] "GET /ABCNews/AdminNewsServlet HTTP/1.1" 200 115072
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:30:24 +0700] "POST /ABCNews/AdminNewsServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:30:24 +0700] "GET /ABCNews/AdminNewsServlet HTTP/1.1" 200 115186
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:30:26 +0700] "GET /ABCNews/ HTTP/1.1" 200 29200
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:30:29 +0700] "GET /ABCNews/NewsDetailServlet?id=new31 HTTP/1.1" 200 20424
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:30:40 +0700] "GET /ABCNews/manage/admin_home.jsp HTTP/1.1" 200 4497
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:30:41 +0700] "GET /ABCNews/AdminNewsServlet HTTP/1.1" 200 115076
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:30:44 +0700] "POST /ABCNews/AdminNewsServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:30:44 +0700] "GET /ABCNews/AdminNewsServlet HTTP/1.1" 200 111031
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:30:50 +0700] "GET /ABCNews/AdminNewsletterServlet HTTP/1.1" 200 11473
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:30:54 +0700] "POST /ABCNews/AdminNewsletterServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:30:54 +0700] "GET /ABCNews/AdminNewsletterServlet HTTP/1.1" 200 9908
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:30:56 +0700] "POST /ABCNews/AdminNewsletterServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:30:56 +0700] "GET /ABCNews/AdminNewsletterServlet HTTP/1.1" 200 8221
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:30:59 +0700] "POST /ABCNews/AdminNewsletterServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:30:59 +0700] "GET /ABCNews/AdminNewsletterServlet HTTP/1.1" 200 6521
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:31:01 +0700] "POST /ABCNews/AdminNewsletterServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:31:02 +0700] "GET /ABCNews/AdminNewsletterServlet HTTP/1.1" 200 4833
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:31:15 +0700] "GET /ABCNews/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:31:15 +0700] "GET /ABCNews/login.jsp HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:31:17 +0700] "POST /ABCNews/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:31:17 +0700] "GET /ABCNews/manage/admin_home.jsp HTTP/1.1" 200 4497
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:31:18 +0700] "GET /ABCNews/AdminNewsletterServlet HTTP/1.1" 200 4732
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:31:20 +0700] "GET /ABCNews/ HTTP/1.1" 200 28003
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:33:10 +0700] "GET /ABCNews/AdminUserServlet HTTP/1.1" 200 15011
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:33:48 +0700] "POST /ABCNews/AdminUserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:33:49 +0700] "GET /ABCNews/AdminUserServlet HTTP/1.1" 200 13343
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:33:58 +0700] "POST /ABCNews/AdminUserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:33:58 +0700] "GET /ABCNews/AdminUserServlet HTTP/1.1" 200 13485
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:34:22 +0700] "POST /ABCNews/AdminUserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:34:22 +0700] "GET /ABCNews/AdminUserServlet HTTP/1.1" 200 15145
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:34:25 +0700] "GET /ABCNews/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:34:25 +0700] "GET /ABCNews/login.jsp HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:34:31 +0700] "POST /ABCNews/LoginServlet HTTP/1.1" 200 2940
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:34:39 +0700] "POST /ABCNews/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:34:39 +0700] "GET /ABCNews/manage/reporter_home.jsp HTTP/1.1" 200 3489
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:34:41 +0700] "GET /ABCNews/ReporterNewsServlet HTTP/1.1" 200 8678
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:34:54 +0700] "GET /ABCNews/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:34:54 +0700] "GET /ABCNews/login.jsp HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:34:55 +0700] "POST /ABCNews/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:34:55 +0700] "GET /ABCNews/manage/admin_home.jsp HTTP/1.1" 200 4497
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:34:57 +0700] "GET /ABCNews/AdminNewsServlet HTTP/1.1" 200 110924
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:34:57 +0700] "GET /ABCNews/AdminNewsletterServlet HTTP/1.1" 200 4732
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:34:58 +0700] "GET /ABCNews/AdminUserServlet HTTP/1.1" 200 15034
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:35:13 +0700] "POST /ABCNews/AdminUserServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:35:13 +0700] "GET /ABCNews/AdminUserServlet HTTP/1.1" 200 13343
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:35:20 +0700] "GET /ABCNews/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:35:20 +0700] "GET /ABCNews/login.jsp HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:35:32 +0700] "GET /ABCNews/ HTTP/1.1" 200 27343
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:38:18 +0700] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:41:05 +0700] "GET /ABCNews/LoginServlet HTTP/1.1" 200 2728
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:41:07 +0700] "POST /ABCNews/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2025:07:41:07 +0700] "GET /ABCNews/manage/admin_home.jsp HTTP/1.1" 200 4497
