0:0:0:0:0:0:0:1 - - [20/Oct/2025:07:59:28 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:11 +0700] "GET /ABCNews/index.jsp HTTP/1.1" 200 8697
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:11 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:12 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:17 +0700] "GET /ABCNews/ HTTP/1.1" 200 46505
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:17 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:17 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:20 +0700] "GET /ABCNews/ HTTP/1.1" 200 46505
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:20 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:20 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:21 +0700] "GET /ABCNews/ HTTP/1.1" 200 46505
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:21 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:22 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:22 +0700] "GET /ABCNews/ HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:22 +0700] "GET /ABCNews/ HTTP/1.1" 200 46505
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:22 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:22 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:23 +0700] "GET /ABCNews/ HTTP/1.1" 200 46505
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:23 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:23 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:23 +0700] "GET /ABCNews/ HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:23 +0700] "GET /ABCNews/ HTTP/1.1" 200 46505
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:23 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:24 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:24 +0700] "GET /ABCNews/ HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:24 +0700] "GET /ABCNews/ HTTP/1.1" 200 46505
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:24 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:24 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:25 +0700] "GET /ABCNews/ HTTP/1.1" 200 46505
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:25 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:25 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:25 +0700] "GET /ABCNews/ HTTP/1.1" 200 46505
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:25 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:25 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:25 +0700] "GET /ABCNews/ HTTP/1.1" 200 46505
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:25 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:00:26 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
172.16.36.71 - - [20/Oct/2025:08:02:14 +0700] "GET / HTTP/1.1" 404 752
172.16.36.71 - - [20/Oct/2025:08:02:20 +0700] "GET /HNAP1/ HTTP/1.1" 404 762
172.16.36.71 - - [20/Oct/2025:08:02:21 +0700] "GET / HTTP/1.1" 404 752
172.16.36.71 - - [20/Oct/2025:08:02:21 +0700] "GET /loginMsg.js HTTP/1.1" 404 763
172.16.36.71 - - [20/Oct/2025:08:02:21 +0700] "GET /cgi/get.cgi?cmd=home_login HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:13 +0700] "GET /ABCNews/HomeServlet HTTP/1.1" 200 46505
0:0:0:0:0:0:0:1 - - [20/Oct/2025:08:22:13 +0700] "GET /ABCNews/assets/img/newsicon.png HTTP/1.1" 404 795
